Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
"Creo en tí ",Julio Melgar,Exaltación / Gloria,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=xJ_ZZkM5fGY&si=J1m4w3nYcLvL4E_6,Yes
Me asombra,En Espíritu y en Verdad,"Consagración / Entrega, Evangelización / Misión","Especial, Worship contemporáneo",Nueva,Por practicar,Intermedia,https://music.youtube.com/watch?v=mPoDsQ1BR1g&si=ODd8piEUKi6QpE1D,Yes
"Has cambiado mi lamento ",Marcos Witt,Gozo / Celebración,Celebración Rítmica,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=mPoDsQ1BR1g&si=ODd8piEUKi6QpE1D,No
"Santo por siempre ",IBI,Exaltación / Gloria,Worship contemporáneo,Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=-CAFAc5OYqc&si=aOnZeEaoQo3ZAcSQ,No
"Mi vida eres tú ",Coalo Zamorano,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Nueva,Por entrar,Avanzada,https://music.youtube.com/watch?v=_0Hz-yLVH-M&si=dE56CE83yAjLiU_W,No
"Al que me ",,,,,,,,No
"Te vengo a bendecir ",Jesús A. Romero,"Clamor / Intercesión, Consagración / Entrega",Balada congregacional,Nueva,Por entrar,Básica,https://music.youtube.com/watch?v=4XgnqizZ1AA&si=Vt_D7PwfivTTmTh9,No
"Abre los cielos ",Jesús A. Romero,"Clamor / Intercesión, Evangelización / Misión",Balada congregacional,Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=-6iyurBfo6A&si=tX6a73tpyWE-w9r5,No
"Nuestro Salvador ",Coalo Zamorano,"Consagración / Entrega, Evangelización / Misión",Worship contemporáneo,Nueva,Por practicar,Intermedia,https://music.youtube.com/watch?v=60Ncc55pvNU&si=-GLi47YRTbU30O7R,Yes
"Quiero levantar mis manos ",Majo y Dan,Consagración / Entrega,Worship contemporáneo,Dominada,Por practicar,Intermedia,https://music.youtube.com/watch?v=3c6SYKG2MYg&si=ol5GssLivxjQbRfJ,No
"Quiero LLenar ",Fermín Garcia,Consagración / Entrega,Balada congregacional,Nueva,Por entrar,Básica,https://music.youtube.com/watch?v=IDaNNHAWjQA&si=4gOhy_Ncz9fkKhu_,No
"Quiero llenar ",Fermín Garcia,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=IDaNNHAWjQA&si=4pRssxyrTXbhnKuO,No
"Vivo para adorarte ",Coalo Zamorano,Consagración / Entrega,Worship contemporáneo,Conocida,Montada,Básica,https://music.youtube.com/watch?v=TFEGDi4OAyg&si=U0U98XIfbTD7CEWt,No
"Soy nueva criatura ",Jesús A. Romero,Gozo / Celebración,Celebración Rítmica,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=xpQS7QkvmGU&si=Y77hkdWGhBjD5wSv,Yes
Dios poderoso,IBI,Exaltación / Gloria,Worship contemporáneo,Dominada,Ensamblada,Intermedia,https://music.youtube.com/watch?v=K2f0u6LGHIE&si=70Pqff-V4xP_y0SG,Yes
"Gracia Sublime es ",En Espíritu y en Verdad,"Evangelización / Misión, Exaltación / Gloria",Worship contemporáneo,Dominada,Ensamblada,Intermedia,https://youtu.be/0pOVNIsyIXM?si=dLXo1iziFTify652,Yes
"Grande y fuerte es nuestro Dios ",Miel San Marcos,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Dominada,Ensamblada,Avanzada,https://youtu.be/YOFJJquEK2k?si=IwgBrg4qmWjphK1j,Yes
,,,,,,,,No
"Hosanna ",Marco Barrientos,"Clamor / Intercesión, Exaltación / Gloria",Celebración Rítmica,Dominada,Ensamblada,Avanzada,https://youtu.be/3kXfjfT6ewU?si=bvW1q1uKftKaYYKU,Yes
